2,0
2,0
4,0
8,0
16,0
32,0
64,0
128,0
256,0
512,0
1024,1
2048,5
4096,16
8192,63
16384,248
32768,988
65536,3920
131072,16167
262144,63701
524288,251274
1048576,1041096
